"audio","length","trial_start","trial_end","understand","angry","intend","hostile","blame","subID"
"audio/4.wav",33,239.82905983401,272.836770709022,8,3.6,8.1,3.6,4.5,"06"
"audio/5.wav",43,315.740727084019,358.753084459022,9,3.6,2.7,1.8,3.6,"06"
"audio/6.wav",34,390.412589542015,424.42012325002,8,5.4,7.2,8.1,4.5,"06"
"audio/7.wav",45,453.229153959022,498.241435584001,9,3.6,1.8,1.8,3.6,"06"
"audio/8.wav",40,529.902345084003,569.911020584026,9,4.5,8.1,9,2.7,"06"
"audio/9.wav",38,600.612592792022,638.621400667005,9,2.7,2.7,1.8,1.8,"06"
"audio/10.wav",38,699.615236709011,737.622816667019,9,4.5,4.5,3.6,4.5,"06"
"audio/11.wav",27,768.501237042015,795.508084292,9,4.5,5.4,4.5,5.4,"06"
"audio/12.wav",39,825.894544625015,864.902635709004,9,3.6,2.7,1.8,2.7,"06"
"audio/13.wav",40,898.943331209011,938.951964667009,9,4.5,1.8,1.8,4.5,"06"
"audio/14.wav",43,972.110059042025,1015.118155459,9,2.7,6.3,6.3,4.5,"06"
"audio/15.wav",19,1047.31136933403,1066.31985750003,9,2.7,1.8,1.8,2.7,"06"
"audio/16.wav",42,1113.18421050001,1155.19305729202,9,4.5,4.5,6.3,4.5,"06"
"audio/17.wav",38,1196.63202058402,1234.64018583403,9,4.5,7.2,7.2,4.5,"06"
"audio/18.wav",39,1273.81636370902,1312.82430812501,9,5.4,7.2,7.2,6.3,"06"
"audio/19.wav",44,1341.05692550002,1385.06552720902,9,4.5,2.7,1.8,2.7,"06"
"audio/20.wav",46,1414.27859975002,1460.29048083402,9,4.5,5.4,2.7,6.3,"06"
"audio/21.wav",42,1496.36967604203,1538.37896795903,8,4.5,4.5,4.5,4.5,"06"
"audio/1.wav",42,26.4985321670001,68.5560637919998,9,8.1,3.6,2.7,7.2,"08"
"audio/2.wav",38,118.287571709,156.299929542,9,6.3,3.6,2.7,7.2,"08"
"audio/3.wav",40,198.897012625,238.908552209,9,9,7.2,4.5,9,"08"
"audio/4.wav",33,280.82596275,313.833442625,9,7.2,7.2,6.3,8.1,"08"
"audio/5.wav",43,351.680551209,394.692185875,9,7.2,1.8,1.8,4.5,"08"
"audio/6.wav",34,433.065746375,467.074033584,9,8.1,7.2,7.2,8.1,"08"
"audio/7.wav",45,501.575792667,546.588235417,9,6.3,3.6,2.7,6.3,"08"
"audio/8.wav",40,582.809511417,622.817501917,9,8.1,8.1,7.2,8.1,"08"
"audio/9.wav",38,656.545494584,694.555640959,9,6.3,5.4,4.5,4.5,"08"
"audio/10.wav",38,733.384146792,771.392265375,9,9,4.5,4.5,8.1,"08"
"audio/11.wav",27,808.5209315,835.5285125,9,6.3,5.4,5.4,6.3,"08"
